Id	id_lot	nb_piece	typologie	prix_tva_reduite	prix_tva_normale	prix_HT	prix_m2_HT	prix_m2_TTC	orientation	exterieur	balcony	garden	parking	ville	departement	date_fin_programme	adresse_entiere	date_extraction	surface	etage	nom_programme	promoteur	index
0	42_4_GardenCity-Inten'City_Bouygues	2	Appartement		172500.0	143750.0	3347.69	4017.23	N	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	42.94	4.0	Garden City - Inten'City	Bouygues	0.0
1	45_2_GardenCity-Inten'City_Bouygues	2	Appartement		179500.0	149583.33	3267.44	3920.93	O	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	45.78	2.0	Garden City - Inten'City	Bouygues	1.0
3	45_2__1_GardenCity-Inten'City_Bouygues	2	Appartement		184500.0	153750.0	3373.93	4048.72	O	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	45.57	2.0	Garden City - Inten'City	Bouygues	3.0
4	67_1_GardenCity-Inten'City_Bouygues	3	Appartement		236500.0	197083.33	2905.55	3486.66	E	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	67.83	1.0	Garden City - Inten'City	Bouygues	4.0
5	69_1_GardenCity-Inten'City_Bouygues	3	Appartement		239500.0	199583.33	2869.23	3443.07	E	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	69.56	1.0	Garden City - Inten'City	Bouygues	5.0
6	62_4_GardenCity-Inten'City_Bouygues	3	Appartement		251500.0	209583.33	3345.84	4015.01	O	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	62.64	4.0	Garden City - Inten'City	Bouygues	6.0
7	67_2_GardenCity-Inten'City_Bouygues	3	Appartement		262500.0	218750.0	3224.97	3869.97	E	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	67.83	2.0	Garden City - Inten'City	Bouygues	7.0
8	78_1_GardenCity-Inten'City_Bouygues	4	Appartement		263500.0	219583.33	2796.88	3356.26	S	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	78.51	1.0	Garden City - Inten'City	Bouygues	8.0
9	69_2_GardenCity-Inten'City_Bouygues	3	Appartement		265500.0	221250.0	3180.71	3816.85	O	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	69.56	2.0	Garden City - Inten'City	Bouygues	9.0
10	67_4_GardenCity-Inten'City_Bouygues	3	Appartement		274500.0	228750.0	3406.05	4087.25	N	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	67.16	4.0	Garden City - Inten'City	Bouygues	10.0
