ville;code_postal;departement
Clermont-Ferrand;63000;63
Clermont-Ferrand;63000;63
Clermont-Ferrand;63000;63
Clermont-Ferrand;63000;63
Clermont-Ferrand;63000;63
Clermont-Ferrand;63000;63
Clermont-Ferrand;63000;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Cournon-d'Auvergne;63800;63
Chamalières;63400;63
Chamalières;63400;63
Chamalières;63400;63
Chamalières;63400;63
Chamalières;63400;63
Chamalières;63400;63
Chamalières;63400;63
Chamalières;63400;63
Chamalières;63400;63
Chamalières;63400;63
Chamalières;63400;63
Chamalières;63400;63
Clermont-Ferrand;63000;63
Clermont-Ferrand;63000;63
Clermont-Ferrand;63000;63
Clermont-Ferrand;63000;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63100;63
Clermont-Ferrand;63000;63
Clermont-Ferrand;63000;63
Clermont-Ferrand;63000;63
